115,116,COC1=CC=C2C(=CC1=O)C3=NC=CC4=C3C2=C(C(=C4OC)OC)OC
116,117,COC1=C(C(=C2C3=CC=C(C(=O)C=C3C4=NC=CC1=C24)O)OC)OC
117,118,COC1=CC2=C(C=CC1=O)C3=C(C(=C(C4=C3C2=NC=C4)OC)OC)OC
118,119,COC1=C(C2=C(C=C1)C3=C(C(=C(C4=C3C2=NC=C4)OC)OC)OC)OC
119,120,COC1=C(C(=C2C3=C(C=C(C=C3)O)C4=NC=CC1=C24)OC)OC
120,121,COC1=C2C3=C(C4=CC=CC=C41)C(=C(C(=C3C(=N)C(=O)N2)O)OC)OC
121,122,COC1=C(C(=C2C3=CC=CC=C3C(=O)C4=NC=CC1=C24)OC)OC
122,123,O=C1C2=CC=CC=C2C3=C(OC)C(OC)=C(OC)C4=C3C1=NC=C4OC
123,124,COC1=C(C2=C3C(=C1)C=CN=C3C(=O)C4=CC=CC=C42)OC
124,125,COC1=C(C2=C3C(=C1)C(=CN=C3C(=O)C4=CC=CC=C42)OC)OC
152,153,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O
157,158,C1=CC(=C(C=C1C(=O)O)O)O
159,160,COC1=C(C=CC(=C1)C(=O)O)O
164,165,C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O
175,176,C1=CC(=C(C=C1C=CC(=O)O)O)O
176,177,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
177,178,COC1=C(C=CC(=C1)C=CC(=O)O)O
183,184,C1=C(C=C(C(=C1O)O)O)C(=O)O
184,185,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
185,186,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
187,188,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
217,218,COC1=C(C=C(C=C1)C2C(C3=C(O2)C(=CC(=C3)CCCO)OC)CO)OC
220,221,COC1=CC(=C(C(=C1)OC)O)OC
221,222,COC1=C(C=C(C=C1)C2C(C3=C(O2)C(=CC(=C3)CCCO)O)CO)OC
223,224,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
224,225,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
225,226,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
226,227,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
264,265,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)CO)O)O)O)O
265,266,COC(=O)C1=CC(=C(C=C1)O)O
268,269,OC1=CC=C(CCNC(/C=C/C2=CC(OC)=C(O)C=C2)=O)C=C1
276,277,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)O)O)O
279,280,COC1=C(C=CC(=C1)C=CCO)OC2C(C(C(C(O2)CO)O)O)O
